"","x"
"607","@TrumperTrixie @jimlibertarian @wattsjim @KevinSpacey That agent should be burned at the stake. Ì†ΩÌ∏°"
"608","@KevinSpacey Hey shit fuck. The guy who endured YOUR sexual assault is now being blamed for you being kicked off yo‚Ä¶ https://t.co/ZjENHsuc4h"
"609","@Rosie @karenryan2 @KevinSpacey RACIST AND SEXIST MUCH!?"
"610","Actual quote from @KevinSpacey in @BabyDriverMovie:
""I was blinded by the balls on that kid"""
"611","If @netflix is so much appalled by @KevinSpacey scandal, it should pull @HouseofCards from Netflix completely, not‚Ä¶ https://t.co/N8ZfrUGoNC"
"612","I‚Äôm pretty sure @KevinSpacey being a drunkard, a recidivist, and a sexual predator had something to do with it. https://t.co/UXwQMxlkfZ"
"613","@KevinSpacey when u realize that ur erased from the red carpet because ur an abuser https://t.co/q7ibT9jK8x"
"614","He's better than @KevinSpacey https://t.co/4FbFLTRZWQ"
"615","@KevinSpacey I don't get swept up in MSM hysteria. Glad ur finally free of the bondage of the closet. Ì†ºÌø≥Ô∏è‚ÄçÌ†ºÌºàOne deed‚Ä¶ https://t.co/iKsa0SHEmi"
"616","@A_Bieber_Babe21 @ScCommerceGuild @Canada @alessiacara @michaelbuble @theweeknd @arcadefire @AlexCuba @bunnettjane‚Ä¶ https://t.co/UkqOC9ba7d"
"617","@TonjaWalker @KevinSpacey Seems likely that the reason you have great respect for him is BECAUSE  you don't know him personally."
"618","@JornLiverod @Pembys @KevinSpacey @albinokid @KevinSpacey admitted to this crime against a child &amp; yet you defend him."
"619","@albinokid @AWriterNamedPam What an evil bitch Pam your going to hell with @KevinSpacey"
"620","@KevinSpacey me having a drink with my pals https://t.co/86A022jNFA"
"621","@KevinSpacey Damn. . . I really like Spacey as an actor. He plays all his roles well. But if he really acted like a‚Ä¶ https://t.co/KNgaECDvcx"
"622","@kimrichardsaa @KevinSpacey Since when does the ""I was drunk"" excuse make a person's actions less criminal? If it w‚Ä¶ https://t.co/kxiFOlgJPY"
"623","@KevinSpacey what's your full address and postcode?"
"624","Dear @KevinSpacey , you are one of the gratest Actors I know. Personally I think our society should seperate betwee‚Ä¶ https://t.co/XvIAvECxlX"
"625",".@albinokid I am sorry some are blaming you for @HouseofCards‚Äô demise. As a fan of the series, I can assure you tha‚Ä¶ https://t.co/GUN0hVr9Hx"
"626","@HouseofCards without @KevinSpacey ? #nope #SupportKevinSpacey"
"627","@albinokid didn‚Äôt kill #houseofcards... @KevinSpacey did that all on his own. While making us gays look bad."
"628","@SenAlFrank  @RepJohnConyers 
and all you other scumbags...
@KevinSpacey @charlierose 
Matt took down his Twitter f‚Ä¶ https://t.co/BxVdIuGSnR"
"629","@KevinSpacey So disappointed  and disgusted, I always admired your acting.  So glad Anthony Rapp had the courage to‚Ä¶ https://t.co/Uder40bqQd"
"630","I appreciate you guys doing the right thing re: @KevinSpacey &amp; LouisCK but unless you stop supporting rapists like‚Ä¶ https://t.co/MKcwrpGJxf"
"631","@nathan_wsbg @ImMici @albinokid U got fucking proof @albinokid lied about being traumatized by an aggressive sexual‚Ä¶ https://t.co/ga4xJetTcE"
"632","@RedaAlycha @KevinSpacey Then you have Mr. Fraudy Fraudman who gets a pass on just about anything. Un-fucking-belie‚Ä¶ https://t.co/gsFST9vnaF"
"633","@donna_truth I yelled several explicit words at my phone and cursed @KevinSpacey for this."
"634","@Rosie @StarlitNovember @karenryan2 @KevinSpacey But it‚Äôs also sad that some of these men might be innocent and whe‚Ä¶ https://t.co/B3pJMN87Xt"
"635","@Rosie @StarlitNovember @karenryan2 @KevinSpacey Why are you putting it like it‚Äôs all men? Also there is nothing wr‚Ä¶ https://t.co/OKGP6LOJMU"
"636","A guy who said @HarveyWeinstein and @KevinSpacey need to be cut a break??  

Between this and your partnership with‚Ä¶ https://t.co/0L1f07RYc7"
"637","@KevinSpacey 
You've been flashing your knob in hotels for years you filthy deviant pig."
"638","Does he, @KevinSpacey get any royalties for that @FOXTV ? https://t.co/sra9XHyNIn"
"639","Apparently the 1st episode of #Ghosted on @FOXTV forget to erase @KevinSpacey from their history...they've referenc‚Ä¶ https://t.co/O5yFBgQcqo"
"640","@IGN #kevinspacy you mean @KevinSpacey you think people I people would miss that how you made him a topic rather th‚Ä¶ https://t.co/kXtVQOyFpV"
"641","@KathleenYMacKey @albinokid @KevinSpacey Oh! She blocked me. Fascinating!"
"642","@KevinSpacey Ask Angels Ì†ΩÌ≤ó https://t.co/YJbzwzsudd"
"643","@KevinSpacey You said to us, no one is perfect."
"644","@KathleenYMacKey @albinokid @KevinSpacey Kevin Spacey isn¬¥t the real victim. You should read the facts."
"645","@townhallcom @VacavilleAntifa I would trust going to a party with @KevinSpacey at 14 the anything the Southern Pove‚Ä¶ https://t.co/xTyjDUwH8b"
"646","@nathanTbernard @piccolohl @SebGorka @MSNBC @SamSeder @TheDemocrats @BillClinton 2/ #Liberals say SATIRE on #rape,‚Ä¶ https://t.co/zx4lhWQUKO"
"647","@chrissussdorf @Tima76222253 @KevinSpacey Unfortunately it has been working for years... just ask the Clinton's"
"648","@KathleenYMacKey @albinokid @KevinSpacey STOP victim blaming!"
"649","@KevinSpacey @sfpartington Wasn't #Bowie a bit old for you?"
"650","@KevinSpacey There's no such thing as a bad KSpacey movie.  Waiting for the day when six degrees of Kevin Spacey becomes a thing."
"651","Can someone please do investigative piece on what #LouisCk @charlierose @KevinSpacey #MattLauer etc etc etc. are do‚Ä¶ https://t.co/moDJXoNMa6"
"652","Be very careful what you identify as. A lot of people thought that it was a good idea to identify as a @KevinSpacey‚Ä¶ https://t.co/zx4Lk4DYHj"
"653","@EmmaPeel_Knight @cosrnos @JornLiverod @ImMici @albinokid @KevinSpacey @cosmos My father was a mechanic. I know not‚Ä¶ https://t.co/Lj1FMj2scN"
"654","@JornLiverod @KevinSpacey @albinokid Rubbish! Less than 50% of the world's population have access to the internet,‚Ä¶ https://t.co/HBuNb64aTK"
"655","@JornLiverod @Pembys @KevinSpacey @albinokid What are you on about? KSpacey is still alive, he is not dead, his lif‚Ä¶ https://t.co/AxZpVdbUjU"
"656","@JornLiverod @albinokid @KevinSpacey Seriously, KSpacey's life is NOT over, there is no need for the hyperbole, his‚Ä¶ https://t.co/AkBN5NJ5vR"
"657","@PeteMaybe @KevinSpacey Look I‚Äôm as devastated as you are, but my baby boy was a creep"
"658","House of Cards went down cuz @KevinSpacey is a nasty pedohoile that thinks it‚Äôs Open season on underage ass https://t.co/sGWd66g50W"
"659","@KevinSpacey @HarveyWeinstein  @AlRoker @sagaftranews @MeTooCenter #metoo
Stop looking the other way. The innocent‚Ä¶ https://t.co/3vY1Oa9JDe"
"660","@ValerieGauvain @KevinSpacey Step off, sister!"
"661","@KevinSpacey fuck you"
"662","@NickJFuentes @shiann3_m Sure, Nick ‚Ä¶ #AmericaFirst Sexual Harassment belongs in the home @KevinSpacey ‚Ä¶like‚Ä¶ https://t.co/LHZSaHlKoI"
"663","@albinokid I know it's difficult to ignore the idiots who blame you for @KevinSpacey not understanding what is acce‚Ä¶ https://t.co/waG37KwJop"
"664","@NYDailyNews @ReignOfApril @KevinSpacey is responsible for assaulting an unknown number of people while working on many projects"
"665","That's right @KevinSpacey, you can still be a Boy Scout leader https://t.co/V3URQ3XVp5"
"666","@MissSofiaStella @KevinSpacey You are disgusting."
"667","@jaketapper @Comey @AGLynch @AmbassadorRice hahahahaha @HillaryClinton get ready for a prison cell next to‚Ä¶ https://t.co/fhKuoZTZF4"
"668","The bigger problem is that those people attacking @albinokid are misdirected. 100% of blame is on @KevinSpacey. Any‚Ä¶ https://t.co/eF4IvRZi7d"
"669","@albinokid Here's one #AnthonyRapp; apparently it wasn't enough to destroy #KevinSpacey @KevinSpacey's life and car‚Ä¶ https://t.co/T4UstkmV7L"
"670","@albinokid Here's one #AnthonyRapp; apparently it wasn't enough to destroy #KevinSpacey @KevinSpacey's life and car‚Ä¶ https://t.co/BTHxbAsI6h"
"671","@sergiocap71 @KevinSpacey @JudithRalston @fidelmacook Yes... but still #Wintertime AND sun Ì†ºÌºû‚ùÑÔ∏è‚ùÑÔ∏è‚òÉÔ∏è‚õÑÔ∏è"
"672","It is @KevinSpacey ‚Äòs Behavior &amp; ONLY HIS that caused the consequences of HIS actions. @KevinSpacey if you really a‚Ä¶ https://t.co/3HfNnnRlat"
"673","Just because @KevinSpacey is a highly valued actor with his foot in the Hollywood scene does NOT dismiss the fact t‚Ä¶ https://t.co/3LkB3OOOHP"
"674","@KevinSpacey I nominate you for the Ì†ΩÌ∂ï#DickOfTheYearNominee"
"675","@EmmaPeel_Knight @KevinSpacey @JudithRalston @fidelmacook So nice Steffl shining in the sun ..."
"676","This is the astrological horoscope of @KevinSpacey https://t.co/aWYm6lTH20 https://t.co/MdZAGSjxYv"
"677","@danosirra @KevinSpacey @NetflixUK That is WHY THEY NEED MORE MONEY from those who have a contract with them....Ì†ΩÌ∏é‚õÑÔ∏è‚ùÑÔ∏è #Guesswhy"
"678","Its a great day, you're not Matt Lauer and your last name isn't CK and @KevinSpacey didn't fuck your face....yet."
"679","@KevinSpacey It was 30 years ago. Really ??Ì†ΩÌ∏ê"
"680","@KevinSpacey don‚Äôt let this get you down, you have  fans that think it over reactions"
"681","@CraigRSawyer @KevinSpacey Ì†ΩÌ∏ùTick tock indeed. 
Hillary is a codfish Ì†ΩÌ∏Å Her time is almost up. https://t.co/EI196WDicw"
"682","@MagicCircleHQ @D_Copperfield I just feel I like this circle. @KevinSpacey do u?"
"683","#Wien shines for itself during #Christmastime. 
We #Austrians are so happy to live in this beautiful city.‚Ä¶ https://t.co/046aZpnqI8"
"684","Apparently it was not enough for @albinokid #AnthonyRapp to destroy #KevinSpacey @KevinSpacey's life and career, bu‚Ä¶ https://t.co/iouKNO0oHg"
"685","@albinokid Apparently it was not enough to destroy @KevinSpacey's life and career, but now you also seem to be a ba‚Ä¶ https://t.co/yzBr2Yq80r"
"686","Hello from #Wien, today we have 3 degrees Celsius and we were walking in a #PreChristmasmood in the city &amp; enjoying‚Ä¶ https://t.co/ecrEnxrokt"
"687","@Hyper1Samurai @Elizaeverafter @nonnygoats @KevinSpacey The actions are irrelevant, the point is that you could do‚Ä¶ https://t.co/gv9IlctsJQ"
"688","@Hyper1Samurai @Elizaeverafter @nonnygoats @KevinSpacey I'm not justifying his actions, I'm saying, you might aswel‚Ä¶ https://t.co/TPmNYCvVxl"
"689","This picture reminds me of @HouseofCards @KevinSpacey a.k.a Frank Underwood.

#IvankaTrump 
#IvankainIndia https://t.co/Rshwmcl6f2"
"690","Hello to all of you^^@AlecBaldwin  @JMessner  @KevinSpacey @LarryDWilcox @LeoDiCaprio @LukeGoss  @mark_wahlberg‚Ä¶ https://t.co/FUEtxbiFjC"
"691","All of them especially @KevinSpacey he is extra gay https://t.co/igqQ6bYqrr"
"692","@KevinSpacey I hope you‚Äôre well."
"693",".@HarveyWeinstein is another man who used his power and status to violate woman.  @BillCosby, @charlierose,‚Ä¶ https://t.co/KcZDyio5sO"
"694","Bryan Singer: Illness forces director to stop work on Freddie Mercury film - same sort of health problems that‚Ä¶ https://t.co/StXRIq7eoZ"
"695","@KathieLGifford @klgandhoda Thanks a lot for these words, Kathie. I think,you should write an article about that: f‚Ä¶ https://t.co/cxPLgJX1yU"
"696","@josh_hayes88 @TEDTalks @KevinSpacey I was about to work in KSpace into this thread, but as usual Josh beat me to it..Ì†ΩÌπä #listentohim"
"697","@johnnyjtadz2 @TEDTalks Hey @KevinSpacey heard u did some shady things but there‚Äôs not enough shade to block out th‚Ä¶ https://t.co/0b6ItvyNyQ"
"698","You killed @KevinSpacey's @HouseofCards! Thank you. He was repetitive, predictable, boring. You should get to play‚Ä¶ https://t.co/WjFUj5FelM"
"699","#TheRef ('94). on one hand, @KevinSpacey's role was interpreted in a much different perspective this time, given al‚Ä¶ https://t.co/VHnuKN2vu1"
"700","@KevinSpacey is still great as Lex Luthor in SUPERMAN RETURNS and really the only good part of the movie.‚Ä¶ https://t.co/dXNzUrfsPY"
"701","@KevinSpacey I think it is just ridiculous to persecute someone like this! And I think it is unfair and not very pr‚Ä¶ https://t.co/Mkl91Wdh3i"
"702","@KevinSpacey It became trendy to denounce whoever while the real predators can keep on hiding. You are not a predat‚Ä¶ https://t.co/IX7UFxFE53"
"703","@KevinSpacey I think the scandal around you is just ridiculous. You have my total support.  I know in my heart, you‚Ä¶ https://t.co/cbI7NYGAug"
"704","@theferocity This seems like something that would be concocted and/or condoned by every one of @KevinSpacey's chara‚Ä¶ https://t.co/tOS0MUEDtH"
"705","@KevinSpacey #nowPlaying ‚Ä¶with your Johnson https://t.co/Dxh51Y5cmF"
"706","@NYDailyNews @albinokid @KevinSpacey LASTLY,CAN WE PLEASE APPRECIATE THE FACT THAT @albinokid  IS MUCH MORE TALENTE‚Ä¶ https://t.co/O5NAZuwhfi"
"707","@__kath @Caitlyn_Jenner @KevinSpacey @lenadunham It would be"
"708","@NYDailyNews @albinokid @KevinSpacey @albinokid should not be accused of a show going downhill because he spoke out‚Ä¶ https://t.co/0kUTGThjXO"
"709","@NYDailyNews @albinokid @KevinSpacey is in a few good things (IÔ∏è guess?)but he reminds me of thumb AND HE IS STILL‚Ä¶ https://t.co/Um6ocBmNSu"
"710","@jtygerman @Caitlyn_Jenner @KevinSpacey @lenadunham Is that a tattoo of a cow on her arm?"
"711","Before IÔ∏è go from CM, gonna have to join the pants around your ankles gang when peeing @d___reckless @KevinSpacey"
"712","@KevinSpacey You're career is over, pedophiles are the lowest form of life, you know wrong from right."
"713","@KevinSpacey You're still one of my favourite actors despite the shit show these last few weeks. Really sad about h‚Ä¶ https://t.co/tnFuYL9Ta3"
"714","Well if @KevinSpacey has any dignity left at all he‚Äôll come out publicly and defend the victim. But from what I‚Äôve‚Ä¶ https://t.co/A337kPDlTG"
"715","Plot twist : you wake up in bed next to @KevinSpacey , but due to the messy ass he decides to not fuck but you toss‚Ä¶ https://t.co/mwJPAxcQE8"
"716","@KevinSpacey can I have some exo jumps"
"717","@TitanX144 @maryuya @KevinSpacey Go back under your bridge troll, everyone is allowed an opinion whether you like i‚Ä¶ https://t.co/m0yU9bfdXM"
"718","@KevinSpacey All I care about is you have brought me great joy 2 with your acting, I thank you for that sir and hop‚Ä¶ https://t.co/soSMam2bl0"
"719","@KevinSpacey I don‚Äôt care about your personal life because it‚Äôs non of my business. If you were a normal person lik‚Ä¶ https://t.co/bID80Pge4V"
"720","@JoelFanMusic @KevinSpacey Honestly I care about your opinion Ì†æÌ¥£Ì†æÌ¥£"
"721","https://t.co/4npp6c7n5i

I have a new favorite show @BabilonaK . Step aside @KevinSpacey and @HouseofCards Ì†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌ≤ïÌ†ΩÌ≤ïÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç"
"722","@Rosie @KevinSpacey Do you remember everything from 30 years ago, and if you tell me yes, guess what your a lier!"
"723","@KevinSpacey is at fault for everything but okay https://t.co/Wim7ae7x3j"
"724","@KevinSpacey just started watching @HouseofCards you are the best the show would be nothing with out you! I can‚Äôt wait to see More! Ì†ºÌ∑∫Ì†ºÌ∑∏"
"725","He‚Äôs not being blamed, he‚Äôs being trolled and harassed and the @NYDailyNews is promoting it. @KevinSpacey and only‚Ä¶ https://t.co/zH7tf9lDjC"
"726","I watched #AmericanBeauty and I have no idea what to think. @KevinSpacey"
"727","Yeah #Alabama, who the hell do you think you are. You know all @pedophiles move to @Hollywood. @romanpolanski,‚Ä¶ https://t.co/zRht98Li18"
"728","@KevinSpacey you are my favorite actor I donot care about the rumors true or false, keep pushing man your still an inspiring figure."
"729","Oddball pirate Rhys (@KevinSpacey) must confront tattoo artist Georgia (Catherine Zeta-Jones) as they try to survive the apocalypse"
"730","@PodestaMolestYa @AhmedMistica @pauloap @BronxLaugher @KevinSpacey I would love to participate in a circle jerk"
"731","@albinokid loved you since Adv in Babysitting, Rent, and You‚Äôre a Good Man, Charlie Brown. Thanks for being brave.‚Ä¶ https://t.co/TiPx2iBV12"
"732","What in the actual fuck is this? How about @KevinSpacey sexually assaulting a minor, you fucking assholes. How abou‚Ä¶ https://t.co/XCdsOvFLOa"
"733","@albinokid Correction @JornLiverod @KevinSpacey's career troubles are a result of the actions of @KevinSpacey."
"734","@albinokid did not kill ""House of Cards!"" @KevinSpacey with his own history &amp; @netflix killed it. Anthony was and a‚Ä¶ https://t.co/NuqCODOnN8"
"735","@Corey_Feldman I see on @Twitter &amp; @YouTube people keep saying: ‚ÄúWhat does he need all that $ for?‚Äù How many times‚Ä¶ https://t.co/ANm4ALXkj5"
"736","@LashaDardagany @HouseofCards @KevinSpacey I DEFINITELY am Interested! Art imitating Life, imitating Art! Genius!!!‚Ä¶ https://t.co/teWSPFp7SV"
"737","@yankeedawg99 @AMike4761 I wonder if @KevinSpacey and this slob swap victims from time to time."
"738","@fleming_adler @KevinSpacey @HouseofCards He resigned.  Clare is the POTUS"
"739","@Libertarian247 @HouseofCards @realDonaldTrump @KevinSpacey Another great reason, although my reason predates yours"
"740","@EmmaPeel_Knight @KevinSpacey @HouseofCards @netflix @FrankUnderwocd Nah. The blame lies right at Soacry‚Äôs feet. Al‚Ä¶ https://t.co/bL5JU99nXq"
"741","@redsteeze More drinks than @BillClinton on the Lolita Express w/@KevinSpacey?"
"742","@KevinSpacey  groping young man causes diabetes"
"743","@user47 @HouseofCards @realDonaldTrump I stopped watching when I found out @KevinSpacey was molesting people."
"744","@Nick_Falco Other notable GQ covers/awards include: 
@BillClinton, @KevinSpacey(lol who BLOCKED ME.. love it!), Lou‚Ä¶ https://t.co/uP8817JnYL"
"745","@netflix Just sent me an email pushing serial abuser James Toback's latest film. Seems they took the high road with‚Ä¶ https://t.co/1vwq0Q1GB0"
"746","@unifiedamerica @YoungDems4Trump What do
@BillClinton 
@HarveyWeinstein 
@alfranken 
@realLouisCK
@KevinSpacey‚Ä¶ https://t.co/pS7wtP400G"
"747","@KevinSpacey I will always support your work as an actor. If Frump is not being vilified, you shouldn‚Äôt be either"
"748","@USATODAY @KevinSpacey s hands and lack of pants killed house of cards."
"749","@SLMillar @SportsPlusShow @margarethendren @AJKreisberg @andydick @BenAffleck @BrettRatner @charliesheen‚Ä¶ https://t.co/SBPIUZjsH9"
"750","@JornLiverod @ImMici @albinokid @KevinSpacey Technically, those that sexual assault can end up in prison, so I‚Äôd sa‚Ä¶ https://t.co/pcJV6RjdgS"
"751","Watching #BabyDriver bc I love @KevinSpacey and fast cars!!!"
"752","Hey there @realDonaldTrump! How's that house of cards going for ya? Maybe you and @KevinSpacey could be friends sin‚Ä¶ https://t.co/V0NqXGG9dl"
"753","@KevinSpacey That's pretty gay. But whatever
I'm more worried about #NetNeutrality"
"754","Aw man @realDonaldTrump you better hit up @KevinSpacey for some tips lmao"
"755","@KevinSpacey accuser Anthony Rapp shares nasty tweets blaming him. @albinokid  
https://t.co/XMOqz3nnSk via @usatoday"
"756","@JornLiverod @Pembys @KevinSpacey @albinokid Kevin Spacey is not the victim here.  Kevin Spacey ended his own caree‚Ä¶ https://t.co/MEuJ6TCSTW"
"757","@SportsPlusShow @margarethendren @AJKreisberg @andydick @BenAffleck @BrettRatner @charliesheen @EdWestwick‚Ä¶ https://t.co/as3b95rFDf"
"758","@albinokid there's nothing wrong with what @KevinSpacey did. You liked it. You just want people to know your name. #15minutes"
"759","@margarethendren @MaritaAHansen @SportsPlusShow @AJKreisberg @andydick @BenAffleck @BrettRatner @charliesheen‚Ä¶ https://t.co/ibZYwsby43"
"760","Etc, ad nauseam:
Hot on the heels of spewing hate and derision against Anthony Rapp [ @albinokid ] and bro-defendin‚Ä¶ https://t.co/KtDKuyvQvr"
"761","@margarethendren @MaritaAHansen @SportsPlusShow @AJKreisberg @andydick @BenAffleck @BrettRatner @charliesheen‚Ä¶ https://t.co/zECFnEH5y7"
"762","@SLMillar @MaritaAHansen @SportsPlusShow @AJKreisberg @andydick @BenAffleck @BrettRatner @charliesheen @EdWestwick‚Ä¶ https://t.co/GAqVwbd6U0"
"763","@SLMillar @MaritaAHansen @SportsPlusShow @AJKreisberg @andydick @BenAffleck @BrettRatner @charliesheen @EdWestwick‚Ä¶ https://t.co/C9pp9sSWmb"
"764","@margarethendren @MaritaAHansen @SportsPlusShow @AJKreisberg @andydick @BenAffleck @BrettRatner @charliesheen‚Ä¶ https://t.co/Zj0oVkRmJk"
"765","@SLMillar @MaritaAHansen @SportsPlusShow @AJKreisberg @andydick @BenAffleck @BrettRatner @charliesheen @EdWestwick‚Ä¶ https://t.co/pNebmD46fw"
"766","@margarethendren @AJKreisberg @andydick @BenAffleck @BrettRatner @charliesheen @EdWestwick @GeorgeTakei‚Ä¶ https://t.co/lwf1NMDRVt"
"767","DIDDLE CASE #0002 (Fowler Play)
Suspect: Kevin Spacey
Occupation: Actor
Classification: B6
Verdict: KID DIDDLER‚Ä¶ https://t.co/wxkqFHOaba"
"768","@MaritaAHansen @SportsPlusShow @margarethendren @AJKreisberg @andydick @BenAffleck @BrettRatner @charliesheen‚Ä¶ https://t.co/EqNV7TyOge"
"769","@albinokid @KevinSpacey‚Äôs career is over due to his own actions. I hate that we live on a society with so many enab‚Ä¶ https://t.co/s9bWSkJsXl"
"770","@margarethendren @SportsPlusShow @AJKreisberg @andydick @BenAffleck @BrettRatner @charliesheen @EdWestwick‚Ä¶ https://t.co/cKrAXWLPMg"
"771","@MaritaAHansen @SportsPlusShow @margarethendren @AJKreisberg @andydick @BenAffleck @BrettRatner @charliesheen‚Ä¶ https://t.co/9rPhHg8yaZ"
"772","@Jahmai11 @MolCZet @TheWantedEmcees @Corey_Feldman @chelseahandler @realDonaldTrump @SenFranken @CoryBooker‚Ä¶ https://t.co/jvCjU6WJHu"
"773","@KevinSpacey I hope you get buried in a hole dug by a shovel fashioned from your own skull but all your sins can be‚Ä¶ https://t.co/uK3apQJLt0"
"774","@albinokid The article I read about how ""fans"" of @KevinSpacey are attacking you sickens me. How someone can blame‚Ä¶ https://t.co/3UCgCgaXiH"
"775","Fair enough but what's with supporting rapists like @DannyMasterson? Pls don't tell me you guys are scared of his s‚Ä¶ https://t.co/tRHgoTBnC0"
"776","@KevinSpacey so disappointed Mr. Spacey. I will miss you. Ì†ΩÌ∏î"
"777","@RottenTomatoes The new movie is now a #GrandpaPlummerMovie. 
While @KevinSpacey played #JPaulGetty. 
That is the BIG difference. Ì†ΩÌ∏éÌ†æÌ¥£Ì†ΩÌ∞±Ì†ΩÌ∞∂Ì†ΩÌ∞ï‚ùÑÔ∏è"
"778","@MolCZet @WilliamHeathSk1 @TheWantedEmcees @Corey_Feldman @chelseahandler @realDonaldTrump @SenFranken @CoryBooker‚Ä¶ https://t.co/aWa7W8coYS"
"779","@KevinSpacey You‚Äôre not gay. Stop lying. You raped that kid and consumed alcohol and you say you don‚Äôt remember? Get your facts straight"
"780","Who needs @KevinSpacey and @HouseofCards ?  The video of @GenFlynn exiting the courthouse to ""Lock Him Up!"" is pure theater!"
"781","But they're gay, can't they use the ""gay out of jail free card"" like @KevinSpacey ? https://t.co/gfidPxNVDv"
"782","@KevinSpacey Hello Mr @KevinSpacey I'm a Writer I've watched your movie American Beauty 90 times I wrote a Script C‚Ä¶ https://t.co/zawSLnwYDx"
"783","Finally watching babydrivermovie !!! @anselelgort @iamjamiefoxx @kevinspacey https://t.co/xN65KYNMvw"
"784","@albinokid @JornLiverod, @KevinSpacey's life &amp; career is over because of HIMSELF. If you commit a crime and get fou‚Ä¶ https://t.co/DUa8dXrdka"
"785","Finally watching @BabyDriverMovie !!!!! @AnselElgort @KevinSpacey @iamjamiefoxx https://t.co/SWT9AGhVs8"
"786","So @netflix we notice that you still have @theranchnetflix starring @dannymasterson on your network. Why the unequa‚Ä¶ https://t.co/k9uUNVM9lJ"
"787","I think the worst thing about all of these sexual predators is @KevinSpacey . He got caught and instead of owning u‚Ä¶ https://t.co/vYQ6LJFWw2"
"788","@SportsPlusShow @margarethendren @SLMillar @AJKreisberg @andydick @BenAffleck @BrettRatner @charliesheen‚Ä¶ https://t.co/E7p0kRAKcH"
"789","@WilliamHeathSk1 @TheWantedEmcees @Corey_Feldman @chelseahandler @realDonaldTrump @SenFranken @CoryBooker‚Ä¶ https://t.co/Jbm00aUC0L"
"790","@MolCZet @WilliamHeathSk1 @TheWantedEmcees @Corey_Feldman @chelseahandler @realDonaldTrump @SenFranken @CoryBooker‚Ä¶ https://t.co/JveM5Rn2bB"
"791","@kevinspacey + @albinokid The majority of the public are FOR using the public arena as judge, jury and executioner,‚Ä¶ https://t.co/ogSU46gE6t"
"792","I should have quizzed @netflix at their booth at @AWSreInvent #AWSreInvent to see maybe it was cloud costs, and not‚Ä¶ https://t.co/ApyrvOMCsS"
"793","@Pembys @KevinSpacey @albinokid So we are going back in time let the public decide that do not have all the informa‚Ä¶ https://t.co/79AVyu0cWY"
"794","@sfalloon1 @NYDailyNews @deray @KevinSpacey The media."
"795","(3 Cont) ...@realghstbstrs @Tesco @fiat @fiatpanda1457 @rollsroycecars @RollsRoyce @Nissan @Spotify @jokingcomputer‚Ä¶ https://t.co/sJz22IpxOn"
"796","@margarethendren @SLMillar @AJKreisberg @andydick @BenAffleck @BrettRatner @charliesheen @EdWestwick @GeorgeTakei‚Ä¶ https://t.co/zFeNxadXsT"
"797","@EmmaPeel_Knight @JornLiverod @ImMici @albinokid @KevinSpacey @cosmos Well Judith blocked me but for the record: I‚Ä¶ https://t.co/4BwxiqFSQs"
"798","@EmmaPeel_Knight @JornLiverod @ImMici @albinokid @KevinSpacey @cosmos This is the reality of what's happening here.‚Ä¶ https://t.co/0QEECOXlJZ"
"799","@cosrnos @JornLiverod @ImMici @albinokid @KevinSpacey @cosmos I only say one thing: please go to a good psychologis‚Ä¶ https://t.co/4K1uLMBjPT"
"800","@SLMillar @SportsPlusShow @AJKreisberg @andydick @BenAffleck @BrettRatner @charliesheen @EdWestwick @GeorgeTakei‚Ä¶ https://t.co/IY5ldKcP68"
"801","@SLMillar @SportsPlusShow @AJKreisberg @andydick @BenAffleck @BrettRatner @charliesheen @EdWestwick @GeorgeTakei‚Ä¶ https://t.co/qfSeaKwWhT"
"802","@EmmaPeel_Knight @JornLiverod @ImMici @albinokid @KevinSpacey @cosmos Imagine going through all of that and how dee‚Ä¶ https://t.co/UKBdnH6Jkd"
"803","@SLMillar @SportsPlusShow @AJKreisberg @andydick @BenAffleck @BrettRatner @charliesheen @EdWestwick @GeorgeTakei‚Ä¶ https://t.co/Mz1Cn23mii"
"804","@EmmaPeel_Knight @JornLiverod @ImMici @albinokid @KevinSpacey @cosmos so you bottle it up. You don't tell anyone an‚Ä¶ https://t.co/lZAcfNnLT9"
"805","@EmmaPeel_Knight @JornLiverod @ImMici @albinokid @KevinSpacey @cosmos It might be hard for you after liking him for‚Ä¶ https://t.co/05t1eBlz8A"
"806","@EmmaPeel_Knight @JornLiverod @ImMici @albinokid @KevinSpacey @cosmos also just because spacey was your hero doesn'‚Ä¶ https://t.co/a3oKFIO7wO"
"807","@SportsPlusShow @margarethendren @AJKreisberg @andydick @BenAffleck @BrettRatner @charliesheen @EdWestwick‚Ä¶ https://t.co/2Zu4tmhkO0"
"808","@KevinSpacey I just watched BEYOND THE SEA last night on @amazonprimenow. You have an amazing voice. You've always‚Ä¶ https://t.co/cIeLyyKsBB"
"809","@EmmaPeel_Knight @JornLiverod @ImMici @albinokid @KevinSpacey @cosmos Judith, things aren't different in Europe. Hu‚Ä¶ https://t.co/StbGcs9fil"
"810","@cosrnos @JornLiverod @ImMici @albinokid @KevinSpacey @cosmos In the USA, maybe everything is possible. 
But in Eur‚Ä¶ https://t.co/vcD8x3W2Bf"
"811","@KevinSpacey I Love you Kevin."
